Control1 Control2 Control3 Treatment1 Treatment2 Treatment3
245151_at 945.855223004552 968.234247861744 812.239530524704 700.651123579117 1274.04336552951 729.607444957158
245152_at 692.041415670613 926.035421480133 557.626601857636 1231.03221766666 818.695460262078 547.297365367635
245153_at 13.4721874297681 21.5439741786006 140.631286417437 226.846077727290 19.7178680366266 6.49211276644827
245154_at 102.952383126367 74.0679880169521 334.038343339114 67.5471561274417 24.7357351961409 15.8846827108534
245155_at 3210.82932022351 2482.14124900572 2822.37162865228 3096.11359221125 4072.42356485133 3850.54261913705
245156_at 622.660265729437 521.440029389408 365.292185159492 863.46079970938 574.963631242444 609.218100449976
245157_at 2.69041501048748 40.5734449106756 40.3214719940427 294.955846642568 4.54889609871032 170.096919798699
245158_at 108.252437505565 135.603461749584 438.759454877291 29.4933870300411 108.997046984737 193.917642464849
245159_at 45.7468146018975 101.041876635118 201.761265907533 11.995277729424 38.6163501908806 126.136577682770
245160_at 16.1538279409076 42.7768040124391 213.940200973682 23.2346982229043 42.5863365426132 68.4105646556116
245161_at 119.9645185465 287.543512418402 225.361376273822 333.653507693092 152.799120818119 242.856839107077
245162_at 96.0244763329883 112.225033396973 227.174091376802 128.321498024498 39.9054321253757 10.1443417187170
245163_at 17.6478641822796 38.9351044546701 33.9126339492231 142.627839992945 55.4060517585471 186.989456895452
245164_at 994.034300282026 1133.3467588315 1928.9223567704 625.17247782682 1432.1134310936 657.92027294443
245165_at 140.314193354218 322.218696858226 50.9851559773744 44.6839990945783 197.797597556776 17.4718458417239
245166_at 405.140563319268 359.163517917912 479.998717486385 671.286835601713 348.904541163465 318.629652226897
245167_s_at 1836.00796008464 1821.07067983439 1458.11959665464 1973.86075683994 2042.31009815665 1381.98992690529
245168_at 5508.64073627617 5679.28201056959 5070.97986244099 6149.45780191486 6493.87477620724 6473.32721816942
245169_at 1128.32415199607 1223.25190554653 1249.58087426430 1031.92324339722 1148.02338294317 1119.53706940128
245170_at 14.8796681890509 24.8629919012397 143.822058929125 33.5428861252346 23.7822094749661 18.0796314830766
245171_at 318.497734055057 468.940252393876 127.418973675973 428.910245573373 328.599154935615 694.109964016154
245172_at 367.261159359413 481.076344039409 933.004638190346 180.490150389795 512.183111693372 615.687337211779
245173_at 109.647313466086 125.429239214429 32.6069499993896 45.2807595291465 27.4981807628538 30.7426755489298
245174_at 168.755283964411 137.144748309741 136.747529178233 187.438113253337 208.142475669352 126.214603872543
245175_at 3010.42206711452 3071.57421113755 2950.22936842694 2565.84066884857 3643.56549759781 2569.15307132289
